Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1495.78628
FDW14,OUT017,1053.82824
NCN55,OUT010,493.95702
FDQ58,OUT017,2287.95512
FDY38,OUT027,6773.31656
FDH56,OUT046,2187.4859
FDL48,OUT018,664.26866
FDC48,OUT027,1516.62582
FDN33,OUT045,1176.20228
FDA36,OUT017,2032.15476
FDT44,OUT017,1684.07452
FDQ56,OUT045,1681.4779
NCC54,OUT019,805.48484
FDU11,OUT049,1855.45144
DRL59,OUT013,903.09112
FDM24,OUT049,2988.50988
FDI57,OUT045,3575.6789
DRC12,OUT018,3091.57572
NCM42,OUT027,2744.4276
FDA46,OUT010,540.82934
FDA31,OUT013,2549.41478
NCJ31,OUT035,3855.18174
FDG52,OUT046,685.90716
NCL19,OUT019,414.52708
FDS10,OUT035,3122.20252
FDX22,OUT010,346.01626
NCF19,OUT035,491.75988
NCE06,OUT046,2180.1621
DRC27,OUT046,3780.01292
FDE21,OUT035,2200.66874
NCR42,OUT019,85.82162
FDX51,OUT018,2738.23566
NCR06,OUT018,324.77724
FDU31,OUT027,5575.14288
FDU59,OUT017,2516.99032
FDR03,OUT027,4386.82304
FDS49,OUT027,2374.37596
FDD48,OUT010,195.61204
NCF18,OUT017,3339.3199
NCD43,OUT027,1964.64264
NCD54,OUT018,1996.00182
FDY19,OUT010,174.7725
NCY54,OUT017,2681.90898
NCL19,OUT018,2558.3365
FDP23,OUT010,307.53302
FDC26,OUT013,1643.5273
FDR14,OUT010,103.8648
NCS41,OUT035,2950.8256
FDF41,OUT035,3653.9104
FDU34,OUT046,2251.60244
DRH11,OUT046,959.21806
FDM03,OUT013,2150.26768
FDS31,OUT017,3428.33736
FDJ20,OUT017,2392.48572
FDV44,OUT027,4117.3072
FDG02,OUT049,2755.28014
FDA09,OUT013,4697.08584
FDT04,OUT013,464.79498
FDL58,OUT019,636.90428
FDE52,OUT045,1777.686
FDW12,OUT035,2550.6798
FDL51,OUT017,3477.34024
NCY42,OUT027,2611.13444
FDR07,OUT017,1319.41586
FDN40,OUT045,2644.69076
FDB35,OUT027,2597.41896
FDA22,OUT017,2499.81268
NCL06,OUT046,5179.05846
FDI35,OUT013,4186.28408
NCW42,OUT045,5009.67894
NCX06,OUT049,3813.96872
FDC37,OUT027,2314.12106
FDZ14,OUT018,1629.07944
DRG49,OUT049,5975.555
NCG06,OUT045,3724.68494
DRC36,OUT045,3486.66144
FDV21,OUT019,483.63712
FDB53,OUT046,3583.26902
DRP47,OUT019,698.49078
FDA14,OUT013,1653.24798
DRC24,OUT035,2290.352
FDW21,OUT018,1853.18772
NCH29,OUT046,1707.57726
FDU58,OUT013,3671.5541
FDY27,OUT017,1601.98138
FDV56,OUT035,1266.81766
FDT59,OUT046,4166.17692
FDB23,OUT046,2411.46102
FDR49,OUT045,760.41018
FDB03,OUT010,534.83714
FDN39,OUT045,2606.80674
FDX02,OUT027,5070.59964
FDQ16,OUT027,2905.81752
FDU35,OUT018,1647.38894
NCT29,OUT013,1604.84432
FDZ27,OUT046,633.24238
FDN57,OUT017,2194.1439
FDA03,OUT018,2146.13972
FDZ36,OUT045,2965.1403
NCU05,OUT013,1073.06986
FDT39,OUT018,1987.81248
FDK60,OUT017,1587.06746
FDZ25,OUT017,3225.1352
FDG12,OUT046,2336.02588
DRB01,OUT019,610.67176
NCC43,OUT027,5661.36398
FDX13,OUT019,552.2811
FDM22,OUT049,749.89054
FDJ03,OUT027,1504.3751
FDU14,OUT018,5121.79966
FDB33,OUT010,347.5476
FDP27,OUT046,3951.32326
FDO38,OUT010,190.95144
FDE28,OUT027,5949.9217
FDO27,OUT035,1274.14146
DRL23,OUT027,2667.26138
FDS28,OUT046,1006.48986
FDX24,OUT013,1208.69332
FDZ02,OUT035,1458.23516
FDL46,OUT045,1648.12132
FDS60,OUT027,5412.08846
NCO06,OUT017,609.80622
FDO16,OUT035,1527.6781
FDC60,OUT049,1537.53194
FDA48,OUT018,3315.88374
FDZ36,OUT027,3496.31554
FDK27,OUT045,1580.67578
FDW23,OUT018,647.62366
FDM14,OUT018,1379.8705
FDM14,OUT013,1128.13152
FDW60,OUT018,2654.61118
FDE21,OUT013,1701.4519
NCM42,OUT035,1514.62842
FDY59,OUT010,171.4435
DRI49,OUT049,1423.34724
FDT28,OUT019,245.61362
FDQ22,OUT018,681.71262
FDR60,OUT049,1227.60204
FDC50,OUT019,285.2953
FDV24,OUT013,2132.42424
DRF48,OUT010,675.1212
FDQ47,OUT046,662.00494
DRN36,OUT049,1598.38606
NCY06,OUT035,2076.82994
FDE52,OUT035,1573.15224
NCB54,OUT045,1664.43342
NCF31,OUT035,2255.26434
FDJ08,OUT027,5043.1021
NCC07,OUT017,1335.19532
NCD19,OUT027,1872.62908
FDL46,OUT049,1606.17592
FDM20,OUT045,4684.30248
NCI06,OUT010,467.25844
